nombre,artista,id_artista,año,genero,genero_general
No Role Modelz,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014,rap,hip-hop
Fragile (Director's Cut),Tech N9ne,6UBA15slIuadJ8h2lPRPos,2014,horrorcore,metal
Time of Our Lives,Pitbull,0TnOYISbd1XYRBk9myaseg,2014,Desconocido,Otros
Smile,Abel The Kid,1jFW8Qk6mMFADyD1dbiry2,2014,Desconocido,Otros
From Eden,Hozier,2FXC3k01G6Gw61bmprjgqS,2014,Desconocido,Otros
"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Lovers Rock,TV Girl,0Y6dVaC9DZtPNH4591M42W,2014,Desconocido,Otros
好不好,Evan Yo,7JY6f7uRdLtKSHbHlQXduV,2014,mandopop,pop
Photograph,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2014,soft pop,pop
Welcome to the Black Parade - Outtake Version,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,2014,emo,rock
Riptide,Vance Joy,10exVja0key0uqUkk6LJRT,2014,folk pop,folk
Live Forever,Oasis,2DaxqgrOhkeH0fpeiQq2f4,2014,britpop,pop
My Love,Route 94,1dgdvbogmctybPrGEcnYf6,2014,house,electrónica
"Muskurane (Film Version) [From ""Citylights""]",Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl,2014,bangla pop,bollywood
Summer,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2014,edm,electrónica
"Cloud 9 - From ""Cloud 9"" / Original TV Movie Soundtrack",Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,2014,Desconocido,Otros
The Nights,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2014,edm,electrónica
Kruhy,Lipo,1EYzuEr3XibJHhM7k60C7Y,2014,Desconocido,Otros
Blame It on Me,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2014,Desconocido,Otros
Magie / 24H,Kurdo,1yIifIA91WgmfzBcjbQB8i,2014,german hip hop,hip-hop
Waves - Robin Schulz Radio Edit,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,2014,Desconocido,Otros
Addicted To You - Live,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2014,edm,electrónica
Fireball (feat. John Ryan),Pitbull,0TnOYISbd1XYRBk9myaseg,2014,Desconocido,Otros
All By Myself (ZDF Tele-Illustrierte 17.01.1989) - VOD,Peter Hofmann,4efGIkUGWK4Z4LvG9XKULG,2014,opera,clásica
One Last Time,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2014,pop,pop
Main Chick REMIX (feat. Chris Brown & Tyga),Kid Ink,6KZDXtSj0SzGOV705nNeh3,2014,Desconocido,Otros
Outside (feat. Ellie Goulding),Calvin Harris,7CajNmpbOovFoOoasH2HaY,2014,edm,electrónica
My Girl (feat. Trevor Jackson),Diggy,2LuUALONla8DJRSCiGONBp,2014,Desconocido,Otros
Shake It Off,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2014,Desconocido,Otros
"You're My Heart, You're My Soul (ZDF Tele-Illustrierte 02.01.1985) - Live from ZDF Tele-Illustrierte, 1985",Modern Talking,79bxUQsBIXO8nVLB9fYKf7,2014,italo disco,dance
Wet Dreamz,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2014,rap,hip-hop
"Verlieben, verloren, vergessen, verzeih'n (ZDF Länderjournal 31.03.1992) - VOD",Wolfgang Petry,0JLbfIT1Z20raMAVYWtCD7,2014,schlager,pop
Riptide,Vance Joy,10exVja0key0uqUkk6LJRT,2014,folk pop,folk
White Crime,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,2014,Desconocido,Otros
The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,2015,Desconocido,Otros
言葉のいらない約束,sana,5vsQrdvs38LX8DmUmLUiwb,2015,Desconocido,Otros
"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",White Noise Baby Sleep,4W12lEvVl5wectUtRNrvDh,2015,Desconocido,Otros
Дождь (feat. МакSим),Geegun,5W7N6u4EjCEMKj7bDyzPEC,2015,Desconocido,Otros
Tennessee Whiskey,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,2015,country,country
你和我的時光,A-Mei Chang,6noxsCszBEEK04kCehugOp,2015,mandopop,pop
The Less I Know The Better,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2015,indie,indie
